"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Positive Testing","1","0","Brand Filter Working","0"
"0","","0","BigBasket Negative Testing","1","0","Invalid Mobile Number Validation","0"
"0","","0","BigBasket Pharmacy Module","1","0","Complete Pharmacy End To End Flow","0"
"0","","0","Positive Testing","1","0","Price Filter Working","0"
"0","","0","BigBasket Negative Testing","1","0","Invalid OTP Validation","0"
"0","","0","Positive Testing","1","0","Add Product To Basket","0"
"0","","0","Positive Testing","1","0","Basket Opening Successful","0"
